,date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,GDP_dollar,adj_price,USD,EUR,GBP,JPY,CNY
113,2013-01-01,GBR,GBP,Britain,2.69,0.633211968,4.248182498028839,38811.424,4.48223993114405,0.064,-0.11800000000000001,0.0,0.293,0.11
114,2013-01-01,CAN,CAD,Canada,5.41,1.0029,5.394356366537041,50496.043,4.99661057373469,0.212,0.005,0.139,0.473,0.264
115,2013-01-01,CHL,CLP,Chile,2050.0,471.75,4.34552199258082,14403.111,3.40775734490282,0.431,0.187,0.345,0.7390000000000001,0.493
116,2013-01-01,CHN,CNY,China,16.0,6.2204,2.5721818532570295,5416.668000000001,3.0121635766752006,-0.042,-0.205,-0.099,0.165,0.0
117,2013-01-01,COL,COP,Colombia,8600.0,1773.175,4.85005710096296,7114.33,3.0868966504572097,0.763,0.462,0.6579999999999999,1.143,0.84
118,2013-01-01,CZE,CZK,Czech Republic,70.33,18.89495,3.72215856617774,20435.875,3.6733266968241503,0.13699999999999998,-0.057,0.069,0.382,0.187
119,2013-01-01,DNK,DKK,Denmark,28.5,5.49795,5.18375030693258,59708.962,5.40217408129668,0.077,-0.107,0.012,0.309,0.124
120,2013-01-01,EGY,EGP,Egypt,16.0,6.68575,2.3931496092435403,2931.827,2.9027779594029903,-0.075,-0.233,-0.13,0.125,-0.035
121,2013-01-01,EUZ,EUR,Euro area,3.5948495719999998,0.7369468290000001,4.878031128620269,40137.01059,4.54059380867381,0.20600000000000002,0.0,0.134,0.465,0.258
122,2013-01-01,HKG,HKD,Hong Kong,17.0,7.7591,2.19097575749765,34259.337,4.28185171862994,-0.426,-0.524,-0.46,-0.302,-0.401
123,2013-01-01,HUN,HUF,Hungary,830.0,217.46935,3.81662979173847,14050.008999999998,3.39221338042781,0.263,0.047,0.187,0.535,0.318
124,2013-01-01,IND,INR,India,89.0,53.395,1.66682273621126,1513.618,2.8403467346743194,-0.341,-0.45399999999999996,-0.381,-0.2,-0.313
125,2013-01-01,IDN,IDR,Indonesia,27939.0,9767.5,2.86040440235475,3511.7990000000004,2.9283090075548,0.096,-0.091,0.031,0.332,0.14400000000000002
126,2013-01-01,ISR,ILS,Israel,14.9,3.72455,4.00048327985931,32350.817000000003,4.19783642820437,0.069,-0.113,0.005,0.3,0.11599999999999999
127,2013-01-01,JPN,JPY,Japan,320.0,91.065,3.5139735353868105,45869.72,4.79295440536995,-0.177,-0.318,-0.226,0.0,-0.141
128,2013-01-01,MYS,MYR,Malaysia,7.95,3.083,2.5786571521245496,10084.608,3.2176517742257102,-0.10099999999999999,-0.254,-0.154,0.09300000000000001,-0.062
129,2013-01-01,MEX,MXN,Mexico,37.0,12.7384,2.9046034038811803,10146.041,3.2203561269894903,0.012,-0.16,-0.048,0.23,0.055999999999999994
130,2013-01-01,NZL,NZD,New Zealand,5.2,1.202428906,4.32458000140592,35973.02,4.35729005563576,0.114,-0.076,0.047,0.354,0.162
